Group1	Group2
1.711482392	0.435152768
0.408981105	0.245813471
1.167281445	0.74355497
0.946211634	0.10711669
0.442429079	0.2613866
3.217924396	2.098641826
0.583777075	0.442513285
0.344291019	0.28115292
1.899745021	1.302683235
0.194155133	0.052979522
5.007677213	4.552076983
2.163395031	1.989382295
0.066887043	0.001002876
0.009626989	0.003864995
0.839365156	0.251626593
1.023014838	0.871156433
0.142414186	0.025475774
0.200349966	0.140159276
0.45544394	0.073309824
0.52789657	0.134437808
2.489698286	2.48558848
1.261764497	0.058365491
2.298987508	0.506238773
0.378599705	0.242354246
0.357877073	0.005685692
0.259188226	0.113606875
1.183127288	1.112507591
0.263735912	0.261149093
1.361090034	0.697584331
2.036185684	1.341183376
0.744622613	0.033329435
0.614461209	0.595813899
1.208746607	0.981673347
1.803515366	1.417201481
0.341923987	0.057000075
0.190672629	0.143897576
1.458212201	1.274124816
2.307785499	0.897968861
2.59986377	1.332291943
1.511311362	0.662008505
1.327141713	0.01148124
0.553234107	0.372219359
1.215055973	1.213253221
0.605894803	0.102815515
1.467630882	1.083022835
4.08008567	1.089328771
0.746186887	0.043101628
0.037492587	0.002979629
5.959146463	4.047282848
1.119732972	0.328944347
0.736355275	0.490032082
1.958449355	0.583957281
0.627904603	0.192108693
0.072033694	0.001044902
0.978566806	0.083199234
0.705905764	0.570982687
0.207192099	0.066581797
0.887390572	0.117307825
1.804055422	0.469515315
0.98557813	0.296595992
1.669035726	1.310393976
1.675247812	0.973625487
3.907387092	1.843756144
1.648198548	0.110372458
0.019254917	0.012097229
0.497935028	0.08833243
0.499043806	0.411114385
0.206091459	0.113362353
0.99487668	0.64906217
0.352274888	0.088382567
0.142821146	0.010621699
0.250942939	0.121846412
0.691908161	0.56000163
1.50249467	1.032992585
0.194538245	0.05061478
0.282629122	0.060983543
0.07377616	0.011432566
1.266118192	1.075288192
0.996947353	0.870869235
0.473371463	0.288713649
2.180273713	2.050299947
0.120334247	0.067957773
0.582708377	0.10918113
0.240926661	0.003196343
0.343283652	0.237749806
1.011934684	0.483776863
3.897589465	3.634265613
0.628382132	0.001310454
0.760085467	0.577671784
0.083973357	0.052748765
0.276670107	0.210638619
1.021374946	0.055670498
1.295310869	0.377877165
0.170530679	0.015873647
0.615578539	0.14917504
0.959189063	0.21116377
0.867967109	0.444677321
2.036274469	0.04515075
0.050619784	0.025067421
0.405578426	0.290501225
0.85255705	0.752511323
0.713739318	0.511986264
0.11295139	0.085788429
0.265775336	0.123817353
1.061536934	0.74695873
0.421363143	0.351126435
0.653245346	0.377636605
0.180693632	0.13779763
1.524916726	0.652885848
1.096435773	0.997303259
2.352030808	0.460912129
0.822217801	0.024513917
0.821996947	0.795663936
0.982934261	0.890274952
1.347083932	0.927523488
1.51299627	0.891049859
1.846056285	1.325903316
1.091905064	0.363818567
3.457905249	2.072869015
0.654693441	0.613183754
0.503474592	0.458780189
0.901934867	0.883797881
1.064747995	0.414351304
0.601352543	0.346560198
0.559764148	0.03522712
0.20508025	0.032704353
0.880891616	0.61073497
0.817772627	0.666312436
0.080140824	0.015193104
0.456342935	0.420228119
0.098383314	0.062474753
1.205012487	0.705298024
0.957265375	0.895334133
0.801716181	0.696398512
0.274091254	0.024886008
2.75725215	0.960873864
3.269464765	0.415351585
0.785347097	0.574554304
0.364311242	0.361839558
3.374653547	0.245863071
0.670507728	0.378030697
0.00802064	0.001134581
2.337776024	2.037363997
4.556475088	1.075063308
0.440706324	0.248743349
2.059402235	1.675988496
2.410999131	1.4851968
0.617392956	0.38789751
2.444929799	0.031556527
0.870477271	0.495397222
0.165183249	0.012649805
0.145008176	0.016404765
0.526167849	0.223413393
0.80798037	0.088936233
0.234009867	0.183584396
0.423723243	0.358793895
3.136769986	0.324072016
0.236233838	0.188841241
1.800569246	0.646073173
2.975953445	2.111713315
0.756324032	0.307583272
0.799839067	0.058739504
2.122491674	0.021960291
0.282546424	0.183719438
0.301194539	0.242433408
2.375623874	0.334735823
0.029261613	0.0061683
3.503503007	1.588846164
1.076210625	0.220560618
2.081449986	1.935681502
0.831950156	0.827832585
3.776429407	1.679014783
2.451694821	0.874190149
2.905855856	0.711360002
1.05683484	0.879567399
0.58559777	0.43931317
0.148201876	0.035732474
0.46308538	0.396897425
0.732812406	0.523018356
2.375365322	1.070781159
0.806831346	0.69709273
0.791866298	0.751545637
0.814440973	0.483898314
0.474433637	0.324687655
0.234050512	0.009465086
0.858756518	0.732621819
3.711627487	0.991106118
1.494808401	0.02498035
1.406890286	0.944520567
0.923856728	0.850096805
1.064803464	0.023949296
3.186083421	1.801768804
0.708533864	0.170856854
2.369171783	0.703090963
0.09405438	0.071991066
0.813907128	0.347305444
0.06873725	0.036673978
0.492414865	0.299388547
0.992778799	0.930037686
1.673833336	1.285729962
4.273477039	3.116075477
0.926548554	0.50782529
0.273621078	0.212442738
2.177419138	1.930932746
0.263741036	0.16718191
1.616160956	0.179161324
5.14180595	1.924796186
2.39638053	0.262894543
2.176817216	0.776141138
0.674611005	0.626237443
2.131663991	0.051501659
0.00884523	0.003897473
0.042178764	0.02380949
1.229739978	0.95120429
1.874120872	0.747282812
0.414655942	0.100107342
0.054963223	0.011980187
2.020338089	0.341150713
1.421696729	0.173930151
1.535280701	0.060298982
2.396509575	0.714359971
1.368199445	1.226144643
0.272257621	0.080810323
2.785801283	1.56613131
1.212732865	1.163260206
2.739818458	2.40190764
2.632456424	0.327602212
0.515784726	0.001648353
0.776618937	0.715490214
3.107787222	0.304443739
0.578477878	0.41257355
0.471497591	0.180726363
0.728944158	0.707486416
1.216769753	0.221135615
0.739000348	0.178173882
0.048712057	0.016409353
0.401674463	0.012461826
0.561173574	0.029705296
0.180344033	0.070688121
2.228312294	1.083248612
0.750464061	0.068691623
0.085006943	0.021115902
1.248986987	1.027046379
0.827797593	0.264696121
2.198555606	0.98520148
0.004007306	0.002216462
0.563809762	0.03319119
1.393616999	0.648140944
0.718792731	0.605762132
4.043389177	1.821638596
0.315301451	0.188245261
5.082723266	4.845706055
1.423005672	1.049121928
1.845648293	1.437522492
2.422021667	0.582766581
3.100751876	1.131679917
3.438960537	1.543559649
0.730243247	0.07222611
3.445764805	3.157858458
1.862960352	1.31189752
2.162855034	0.684797927
2.583063757	2.363742465
0.504367384	0.261720758
1.736502618	0.338325096
0.367818669	0.310623375
1.491673855	0.247139425
0.193480889	0.156899208
3.590377385	0.315896838
0.929205692	0.230844748
0.020725686	0.000477071
0.371233348	0.041704738
0.833698812	0.48056876
2.73249502	2.029919895
4.760387128	2.072197641
1.576832459	1.531015638
1.062877921	1.056190372
1.565714253	0.473352792
0.451392896	0.038873401
1.878415998	0.980849255
2.907253997	2.085285677
0.951930153	0.86463096
1.965702711	1.93775001
2.408170813	2.166111808
0.722221475	0.571534507
2.23514866	2.007142632
1.146344897	0.720531055
1.403248928	0.442224292
1.765987444	1.447073055
2.370732802	1.58608125
3.848030595	0.077471859
2.985659889	0.545814682
7.22428971	2.837239528
3.18995946	2.349563266
2.156537119	0.428346782
1.720498388	1.103577537
1.31443085	1.018751307
1.452892706	0.738685937
0.930696141	0.398697876
1.276457408	0.108884504
3.354385967	1.350018664
1.064186215	0.702875059
0.690393748	0.670684898
1.010125098	0.015477684
0.009060752	0.004897957
2.405300825	1.260553332
2.425891459	1.410317423
0.672316458	0.377290213
0.995420864	0.215211313
0.898440092	0.19432384
0.994140917	0.287268162
1.307316507	0.182306826
0.116557174	0.005458986
0.991987483	0.026558237
1.584591547	0.748569801
0.524482477	0.009420803
0.348018364	0.223966899
